Option,Type,RecurCount,DayofWeek,Start
D3S1T1800,Daily,3,,3/9/2017 18:00
D3S1T2100,Daily,3,,3/9/2017 21:00
D3S2T0000,Daily,3,,3/10/2017 0:00
D3S2T0300,Daily,3,,3/10/2017 3:00
D3S2T1800,Daily,3,,3/10/2017 18:00
D3S2T2100,Daily,3,,3/10/2017 21:00
D3S3T0000,Daily,3,,3/11/2017 0:00
D3S3T0300,Daily,3,,3/11/2017 3:00
D3S3T1800,Daily,3,,3/11/2017 18:00
D3S3T2100,Daily,3,,3/11/2017 21:00
D3S4T0000,Daily,3,,3/12/2017 0:00
WD6T0400,Daily,7,,3/11/2017 4:00
WD6T2200,Daily,7,,3/11/2017 22:00
WD7T1600,Daily,7,,3/12/2017 16:00
